coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Chapadao de Ferro Microlot 494 Brasil,Ritual Coffee Roasters,"San Francisco, California","Patrocinio area, Minas Gerais State, Brazil.",Medium,49/63,NA,March 2009,92,Aroma:,8,Acidity:,8,Body:,8,Flavor:,8,Aftertaste:,9,"Blind Assessment: Simple but softly rich aroma: sweet aromatic wood, caramel. In the cup balanced, soft acidity, delicately smooth mouthfeel, crisp nut and cocoa notes with a halo of cherryish sweetness. Lovely finish: clean, sweet, cocoa- and cherry-toned.","Notes: Processed by the traditional Brazilian natural or dry method, meaning the coffee was dried with both skin and fruit still adhering to the bean. Chapadao de Ferro or ""Plateau of Iron"" no doubt received its name because of the soil's rich iron content. Ritual is a relatively new, frequently celebrated (NY Times, etc.), obsessively quality-oriented roastery and coffeehouse with two locations in San Francisco and a third in Napa's Oxbow Public Market. Visit www.ritualroasters.com or call 415-641-1024 for more information.","Who Should Drink It: A poised, almost flawless classic Brazil."
Tangletown Blend,Zoka Coffee Roasters,"Seattle, Washington",Central America.,Light,63/86,$11.95/16 ounces,February 2009,89,Aroma:,8,Acidity:,8,Body:,7,Flavor:,8,Aftertaste:,8,"Blind Assessment: Lively citrus and berry in the aroma with hints of spice and flowers. Bright-toned acidity, medium body with a slight roughness in the mouthfeel. Continued tartly sweet citrus and berry in the cup with a mild nuttiness that carries into a clean finish.","Notes: Available in a 16-ounce valve bag at $11.95. Combining two coffees from Central America, Tangletown Blend gets its name from the neighborhood that surrounds the original Zoka cafe, and fulfills the role of Zoka's house blend. Zoka is a leading small-batch roaster particularly specializing in espresso blends and espresso education. Visit www.zokacoffee.com or call 206-545-4313 for more information.",Who Should Drink It: Those who like crisp mornings and dry white wine.
Organic Guatemala Rio Azul Cooperative,Wonderstate Coffee,"Viroqua, Wisconsin","Huehuetenango growing region, Guatemala.",Medium,54/66,NA,November 2008,91,Aroma:,9,Acidity:,8,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: Bright-toned lemony aroma, with hints of blackberry, flowers and butter. Tartly sweet acidity in the cup, with medium body and a smoothly juicy mouthfeel. Lemon-like flavors are balanced with floral and cocoaish chocolate notes. Finishes cleanly, developing sweetness in the long.","Notes: Certified organically grown at elevations between 4,000 and 6,000 feet by the Rio Azul Cooperative in Jacaltenango, Guatemala. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com/ for more information.","Who Should Drink It: Those who enjoy a lively, lemony cup."
Sumatra Lintong,Terroir Coffee,"Acton, Massachusetts","Lintong growing region, North Sumatra Province, Indonesia.",Medium-Light,55/75,NA,November 2008,94,Aroma:,9,Acidity:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Lemon, apple, moist fallen leaves in aroma and cup, supported by a sweet pungency that suggests fresh-cut cedar or butterscotch. Round, full mouthfeel, quiet acidity, long, resonant finish.","Notes: Lintong is the traditional market name for an admired coffee type grown near Lake Toba in north-central Sumatra. It shares some of the unorthodox character of the regional type: a hint of earth, low-acid fruit, dense mouthfeel. This particular Sumatra adds a powerful sweetness and complexity to that traditional profile. Terroir is a microroaster selling only elite single-origin coffees, no blends. It specializes in medium roast styles designed to foreground the character of the green coffee. Terroir is the creation of George Howell, one of the world's leading coffee visionaries. Visit www.terroircoffee.com or call 866-444-5282 for more information.","Who Should Drink It: A gloriously autumnal coffee with its deep intensity and notes of earth, apple and cedar."
La Esperanza Colombia,Terroir Coffee,"Acton, Massachusetts","Huila growing region, Colombia.",Medium-Light,57/77,NA,November 2008,93,Aroma:,9,Acidity:,8,Body:,9,Flavor:,8,Aftertaste:,9,"Blind Assessment: A round, sweetly pungent coffee, deep in sensation. Plumy fruit and hints of lemon, flowers and molasses in aroma and cup. Rich, well-integrated acidity, long, resonant, tartly sweet finish.","Notes: Located in Colombia's admired Huila growing region, La Esperanza is planted with traditional Arabica varieties, and is focused on innovative farm management and quality improvement. Terroir is a microroaster selling only elite single-origin coffees, no blends. It specializes in medium roast styles designed to foreground the character of the green coffee. Terroir is the creation of George Howell, one of the world's leading coffee visionaries. Visit www.terroircoffee.com or call 866-444-5282 for more information.",Who Should Drink It: Those who prefer depth to flash.
Kenya,Diedrich Coffee,"Irvine, California",South-central Kenya.,Medium-Dark,45/54,October 2008,8,90,Acidity:,8,Body:,8							,Flavor:,8,Aftertaste:,8,With Milk:,8,"Blind Assessment: In the aroma cedary pungency, caramel, hints of low-toned fruit and flowers. In the cup a sweet-toned, balanced acidity, silky mouthfeel, continued cedar-toned pungency and a sweetly tart citrus -- lime or Meyer lemon. Continued hint of flowers. The lime-lemon suggestion carries into a simple, clean finish.","Notes: Despite stresses brought on by charges of corruption and a confusing transition toward an open market, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. This coffee is AA grade, the highest regularly traded grade of Kenya coffee based on bean size and least number of physical imperfections. Headquartered in Orange County, California, Diedrich Coffee is a publicly-traded specialty coffee company that offers a range of whole bean and single serve coffees at retail locations and online. Visit www.diedrich.com or call 800-354-5282 for more information.",Who Should Drink It: A quiet but complete version of one of the world's finest coffee types.
Organic Ethiopia Sidamo Moredocofe,Batdorf & Bronson,"Olympia, Washington","Sidamo growing region, southern Ethiopia.",Medium,48/63,NA,September 2008,90,Aroma:,8,Acidity:,8,Body:,7,Flavor:,9,Aftertaste:,8,"Blind Assessment: A light floral aroma mingles with hints of tangy fruit as well as sweet toast and nuts. Bright, balanced, somewhat winy acidity, lean but silky mouthfeel. Complex flavors combine mild citrus, jasmine, and berries with roasted nuts, chocolate and a hint of juniper. A sweet baker's chocolate finish lingers.","Notes: This coffee is certified organically grown and Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Southern Ethiopia coffees like this one, processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express distinct floral and citrus notes. Batdorf & Bronson is a leading wholesale quality-oriented specialty roaster with operations in both Olympia, Washington and Atlanta, Georgia. Visit www.batdorfcoffee.com or call 800-955-5282 for more information.",Who Should Drink It: Those who enjoy discovering subtly complex flavors in an environmentally certified cup.
Daterra Calabria Style Espresso,Terroir Coffee,"Acton, Massachusetts","Cerrado growing region, Minas Gerais State, Brazil.",Medium,47/62,NA,August 2008,93,Aroma:,8,Acidity:,7,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Sweet-toned, deep, slightly smoky aroma: aromatic wood, a hint of dark chocolate. In the small cup medium-bodied, but the pungent dark chocolate notes amplify and move forward, complicated by aromatic wood, walnut, even licorice. Long, resonant, chocolate-saturated finish. Dominates milk with a smoky heaviness that resolves quickly into a milk-sweetened version of the now familiar dark chocolate note.","Notes: This coffee is Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Daterra is among the world's most technically sophisticated coffee producers, with three model environmentally and socially progressive farms in the admired Cerrado growing region of Brazil. Calabria, a region in the extreme south of Italy, connotes a darker-roasted, pungent style of espresso. This is Terroir's darkest roasted espresso, although by West-Coast American standards it is not at all dark; the chocolaty pungency is created as much by the character of the green coffee as by roast style. Terroir is a microroaster selling only elite single-origin coffees, no blends. It specializes in medium roast styles designed to foreground the character of the green coffee. Terroir is the creation of George Howell, one of the world's leading coffee visionaries. Visit www.terroircoffee.com or call 866-444-5282 for more information.","Who Should Drink It: Produces a striking single-shot and a tough, dairy-mastering presence for long milk drinks."
Kenya Peaberry Kaliluni Cooperative,Wonderstate Coffee,"Viroqua, Wisconsin",South-central Kenya.,Medium-Light,50/75,NA,August 2008,91,Aroma:,8,Acidity:,8,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: Soft, sweet-toned aroma: crisp black cherry, honey, a hint of flowers. In the cup rich acidity, syrupy mouthfeel, pungent but lush: dry berry, hints of flowers, flowering grass, herb. The dry finish remains on the rich side of astringent.","Notes: Despite national coffee leadership marked by confusion and recent social disorder, Kenya cooperatives continue to produce some of the world's most elegant and distinctive coffees. This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com/ for more information.","Who Should Drink It: A balanced but assertive Kenya, pungently acidy yet roundly sweet-toned."
Fazenda Sao Joao Brasil,Ritual Coffee Roasters,"San Francisco, California","Coromandel growing region, Minas Gerais State, Brazil",Medium,49/61,NA,May 2008,92,Aroma:,8,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,9,"Blind Assessment: Little difference in rating or description between Ken (92) and co-cupper Ted Stachura (91) in regard to this exceptional Brazil natural. Ted's assessment: ""Big, floral aroma - lavender, fruit and sweet-leaning white wine. Floral and fruit qualities carry into the bright, yet fine, acidity. Complex flavors with more floral upfront, subtle, tart citrus tones and lots of sweetness. Clean finish with lingering floral hints.""","Notes: Processed by the traditional Brazilian natural or dry method, meaning the beans were dried with both skin and fruit still adhering to the bean. A semi-arid climate prevailing during harvest apparently permits farmer Reginaldo Silvoni to achieve a purity of profile, free of fermented sugars or mildew, despite the relatively lengthy drying period occasioned by drying coffee inside the tough fruit skin. From trees of the Catuai and Mundo Novo varieties. Ritual is a relatively new, frequently celebrated (NY Times, etc.), obsessively quality-oriented roastery and coffeehouse with two locations in San Francisco and a third opening soon in the Napa wine country. Visit www.ritualroasters.com or call 415-641-1024 for more information.","Who Should Drink It: Accessible, suave, yet complex breakfast cup. Aficionados may want to sample this coffee as a demonstration of how pure a ""natural,"" dried-in-the-fruit coffee can be when the farmer is obsessive and the climate during harvest is perfect."
