coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Kenya Sangana,Starbucks Reserve Roastery,"Seattle, Washington",Kenya,Medium,48/54,$24.00/8.8 ounces,June 2015,90,Aroma:,9,Acidity:,7,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: Sweetly pungent, lightly roast-influenced. Black currant, dark chocolate, mildly scorched cedar, an herby hint in aroma and cup. Roast-muted acidity; plump, lightly syrupy mouthfeel. Finish consolidates around a dry chocolate and a complicating hint of tart black currant.","Notes: Currently sold-out. Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. This is a limited edition coffee, one of an array of very select small-lot coffees that together demonstrate the entry of Starbucks into the new, highest-end specialty coffee arena. This coffee, like most of the Starbucks Reserve coffees that can be purchased online or at other Starbucks locations, was roasted on a largish batch-roaster located on the lower level of the Reserve Roastery rather than on the smaller roaster that produces the bulk coffees sold only on site. For further information visit www.starbucks.com/roastery.","Who Should Drink It: Those who enjoy moderately dark roasts that preserve some taste of place, in this case a characteristic Kenya pungent berry and (here a roast-influenced) dark chocolate."
100% Kona Coffee,Starbucks Reserve Roastery,"Seattle, Washington","Kona growing region, “Big Island” of Hawaii.",Medium-Dark,39/46,$34.50/8.8 ounces,June 2015,87,Aroma:,8,Acidity:,7,Body:,7,Flavor:,8,Aftertaste:,7,"Blind Assessment: Quiet, roasty, chocolaty. Scorched oak, buttery dark chocolate, a hint of lemon in aroma and cup. Crisp, roast-toned acidity; lean though silky mouthfeel. A roasty chocolate dominates in the finish. ","Notes: This is a limited edition coffee, one of an array of very select small-lot coffees that together demonstrate the entry of Starbucks into the new, highest-end specialty coffee arena. This coffee and most of the rest of the Starbucks Reserve coffees, including all of those that can be purchased online or at other Starbucks locations, are roasted on a largish batch-roaster located on the lower level of the Reserve Roastery, and based on our sampling are generally roasted somewhat darker than the highest-end coffees like those that are only sold scooped out of bulk bins at the Seattle location. For further information visit www.starbucks.com/roastery.","Who Should Drink It: Kona is not a particularly distinctive origin to start with, and here a rather aggressive dark roast doesn’t leave much origin character behind for speculation. We do get some scorchy, buttery dark chocolate, however, and a tickle of lemon."
Ethiopia Washed Limu Gera,Kakalove Cafe,"Chia-Yi, Taiwan","Limu Woreda, southwest Ethiopia.",Medium-Light,61/79,$17.00/16 ounces,June 2015,94,Aroma:,9,Acidity:,9,Body:,8,Flavor:,9,Aftertaste:,9,"Blind Assessment: Delicately but deeply complex, seductive. Jasmine, sandalwood, pineapple, papaya, crisp roasted cacao nib in aroma and cup. Gently lush, juicy acidity; very smooth, silky mouthfeel. Jasmine, sandalwood and a hint of bergamot last far into a sweet, resonant finish.",Notes: Limu is a growing district in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the area. Ethiopian coffees like this one processed by the wet or washed method (fruit skin and pulp are removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Kakalove Café is a nano-roaster located the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,"Who Should Drink It: Exceptionally balanced, delicately complete version of the great southern Ethiopia wet-processed profile."
Mexico Honey Huatusco,Mystic Monk Coffee,"Clark, Wyoming","Veracruz State, Mexico.",Medium,50/69,$13.99/12 ounces,June 2015,90,Aroma:,8,Acidity:,8,Body:,8,Flavor:,8,Aftertaste:,8,"Blind Assessment: Heavy, musky, pungent. Pruney dark chocolate, musk, lily-like flowers, fresh-cut fir in aroma and cup. Round, resonant acidity; syrupy mouthfeel. The chocolate note intensifies in a sweetly deep-toned finish.","Notes: Processed by the honey method, which means that the outer skin of the coffee fruit is removed as it is in the wet or “washed” process, but at least some of the sticky fruit flesh or residue is allowed to dry on the bean and later removed by machine along with the parchment skin. Mystic Monk Coffee is a small-batch roaster associated with a Carmelite monastery located in the Rocky Mountains of northern Wyoming. The monks emphasize an artisan approach to roasting and a commitment to quality. Visit www.mysticmonkcoffee.com or call 877-751-6377 for more information.","Who Should Drink It: The fragrant musk, aromatic wood and hint of chocolate may make this unusual coffee a particularly good way to finish a dinner."
House Blend (Espresso),Cama Cafe,"Taipei, Taiwan",Not disclosed.,Medium-Dark,40/46,NT $255/8 ounces,June 2015,91,Aroma:,9,Body:,8							,Flavor:,9,Aftertaste:,7,With Milk:,8,"Blind Assessment: Evaluated as espresso. Pungent, deep. Dark chocolate, fresh-cut cedar, hazelnut, rosemary in aroma and small cup. Heavy, syrupy mouthfeel; richly drying finish. Crisply sweet – nuts and chocolate – in three parts milk.  ",Notes: Cama Café is a highly rated Taiwan café chain and coffee roaster. Visit www.camacafe.com or call 866-02-2755-0068 for more information.,"Who Should Drink It: A classic darker-roasted espresso: the roast develops depth and pleasingly pungent dark chocolate, nut and aromatic wood notes."
Ethiopia Aricha,Seasons Coffee Roasters,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia.",Light,62/88,$24.00/16 ounces,June 2015,94,Aroma:,9,Acidity:,9,Body:,8,Flavor:,10,Aftertaste:,8,"Blind Assessment: Intense yet delicate; intricate. Star fruit and sweet strawberry, jasmine, sandalwood, roasted cacao nib in aroma and cup. Sweetly crisp acidity; light, silky mouthfeel. Flavor deeply saturates a resonantly sweet, gently drying finish.","Notes: Most Yirgacheffe coffee is prepared by the conventional wet method, in which the skin and pulp are removed from the beans or seeds before they are dried, encouraging a cleanly high-toned, often intensely floral- and citrus-toned cup. This Yirgacheffe is a “natural” or dry-processed version, however, meaning the beans/seeds were dried inside the fruit, encouraging a deeper-toned floral and fruit character. Like virtually all Ethiopia coffees, this striking and unusual coffee is produced by villagers on small, garden plots interplanted with food and other subsistence crops. Seasons is a micro-roaster of seasonal specialty coffee, selling its fine coffees online only. Visit www.seasonscoffee.us or call 916-905-7160 for more information.","Who Should Drink It: Offers extraordinary aromatic intrigue: complex, exotic, original."
Ace Espresso,Propeller Coffee,"Toronto, Ontario, Canada",Kenya; Brazil.,Medium-Light,55/72,$16.00/16 ounces,June 2015,94,Aroma:,9,Body:,9							,Flavor:,9,Aftertaste:,8,With Milk:,9,"Blind Assessment: Evaluated as espresso. Brightly juicy, sweetly floral. Honey, tangerine, red-currant jelly, lilac, backgrounded chocolate fudge in aroma and small cup. Full, syrupy mouthfeel. The finish, sweet and richly drying, consolidates around citrus and chocolate. Smoothly bright and balanced in three parts milk – delicate chocolate, creamy citrus, a continuing hint of flowers. ","Notes: This distinguished blend is comprised of a wet-processed Kenya Lenana AB and a dried-in-the-fruit or natural-processed Brazil Cerrado Vereda. Propeller is a relatively new Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees, the outgrowth of five years of successful business as the three-location Crema Coffee café chain. Visit www.propellercoffee.com or call 416-479-3771 for more information.",Who Should Drink It: Balanced and vivacious espresso: citrusy brightness rounded by chocolaty depth and plump mouthfeel.
Mutwari Tanzania Peaberry,Cafe Grumpy,"Brooklyn, New York","Mbeya Region, Tanzania.",Medium-Light,55/74,$16.00/12 ounces,June 2015,93,Aroma:,9,Acidity:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Round, deep, vibrant. Concord grape, blood orange, molasses, pecan, lily-like flowers in aroma and cup. Richly tart, juicy acidity; full, syrupy mouthfeel. Fruit, flowers and nut all carry into a resonant finish.","Notes: From the Tembo dry mill. Produced in the Mbeya Region north of Lake Malawi by small holding producers from trees of admired French Mission Bourbon-related varieties of Arabica. It consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. For reasons that are not entirely clear, Tanzania is particularly associated with its peaberry grades. An integral part of New York’s coffee renaissance, Brooklyn-based Café Grumpy opened its first café in 2005 and has since expanded to six locations, including a roasting facility. Visit www.cafegrumpy.com or call 718-383-0748 for more information.","Who Should Drink It: Those who enjoy a richly tart, juicy cup with depth and fullness."
Colombia El Mango,Seasons Coffee Roasters,"Sacramento, California","Nariño Department, Colombia.",Light,64/90,$21.00/16 ounces,June 2015,93,Aroma:,9,Acidity:,9,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Roundly classic, juicy, balanced. Caramel, hazelnut, lily-like flowers, plum and apricot in aroma and cup. Richly poised acidity; satiny mouthfeel. Flavor consolidates but persists in a sweetly and gently tart finish. ","Notes: Produced by farmer Heidler Gomez on El Mango, a farm in Buesaco in Nariño Department. Seasons is a micro-roaster of seasonal specialty coffee, selling its fine coffees online only. Visit www.seasonscoffee.us or call 916-905-7160 for more information.","Who Should Drink It: Splendidly balanced, quietly complete coffee: juicy, refreshing, vivacious."
Burundi Shamba,Cafe Grumpy,"Brooklyn, New York",Northern Burundi,Medium-Light,55/67,$18.00/12 ounces,June 2015,93,Aroma:,9,Acidity:,9,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Richly sweet, light-footed. Honey, lemon verbena, blood orange, walnut, rhododendron-like flowers in aroma and cup. Complex, sweetly lyric acidity; lightly syrupy mouthfeel. Flavor consolidates in a very sweet though gently drying finish. ","Notes: Burundi is a small, landlocked country in the Great Lakes region of Central Africa. Most coffee is grown in the mountains of the north, bordering Rwanda. Benefiting from ideal growing conditions and large plantings of various strains of the heirloom Bourbon variety of Arabica, Burundi coffee has an excellent reputation, though it is better known in Europe than in the United States. This particular Burundi was processed by the Shamba washing station, one of seven operated by the Kahawa Link Company, founded by women coffee pioneers Angele Ciza and Consolata Ndayishimiye in 2012. An integral part of New York’s coffee renaissance, Brooklyn-based Café Grumpy opened its first café in 2005 and has since expanded to six locations, including a roasting facility. Visit www.cafegrumpy.com or call 718-383-0748 for more information.","Who Should Drink It: A quietly exhilarating coffee with a particularly expressive, lively acidity."
