coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Panama Elida ASD Natural,modcup coffee,"Jersey City, New Jersey","Boquete growing region, western Panama",Light,62/80,$60.00/150 grams,December 2020,94,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Delicate, richly aromatic, sweetly fermenty. Aged grappa, grape candy, dark chocolate, hibiscus flowers, caramel in aroma and cup. Sweetly tart with juicy acidity; very full, satiny mouthfeel. The sweetly fermenty finish centers around notes of aged grappa, grape candy and cedar.","Notes: Produced by the Lamastus family of Elida Estate entirely of the Geisha variety of Arabica and processed by the anaerobic natural method. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.","The Bottom Line: A heady experimentally processed cup with delicate alcohol notes enveloped by saturating chocolate, flowers, and fruit."
Sumatra Mutu Batak,Jackrabbit Java,"Thermopolis, Wyoming","Lintong growing region, North Sumatra Province, Indonesia",Light,555/73,$14.00/12 ounces,December 2020,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Deep, rich, sweetly earth-toned. Pipe tobacco, baking chocolate, plum, nougat, narcissus-like flowers in aroma and cup. Sweet structure with pert acidity; full, creamy mouthfeel. Pipe tobacco and nougat complicate the chocolaty finish.","Notes: Produced by smallholding farmers from the Ateng, Jember and Garundang varieties of Arabica. Coffees like this one from the northern part of the Indonesian island of Sumatra are valued for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet-hulling.” This is a particularly refined example of the type, produced in the Lintong region south of Lake Toba, one of the oldest and most admired of Sumatra growing regions. Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.","The Bottom Line: A classic Sumatra cup: earthy-rich, deeply chocolaty, with a floral-toned lift."
Peru Chacra Don Dago,SkyTop Coffee,"Manlius, New York","Villa Rica, Oxampampa, Pasco Department, Peru",Medium-Light,54/72,$15.00/12 ounces,December 2020,92,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,7,"Blind Assessment: Sweetly spice-toned. Baking spices, rhododendron, dark chocolate, hazelnut, molasses in aroma and cup. Sweet-toned with gentle acidity; full, syrupy mouthfeel. Drying finish with notes of cinnamon and nutmeg in the short, rounding to chocolate in the long. ","Notes: Produced by Dagoberto Marin Ludeña from trees of the Bourbon, Catimor, Catuai, Caturra and Typica varieties of Arabica and processed by the washed method (fruit skin and pulp are removed before drying). SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.",The Bottom Line: A Peru cup evocative of winter with notes of baking spices and deep chocolate suggestions. 
Dharma Espresso Blend,Temple Coffee Roasters,"Sacramento, California",Brazil; Ethiopia; Costa Rica,Medium,44/70,$16.50/12 ounces,December 2020,92,Aroma:,8,Body:,8							,Flavor:,9,Aftertaste:,8,With Milk:,9,"Blind Assessment: Evaluated as espresso. Dark chocolate, magnolia, cedar, black cherry, lemon zest in aroma and small cup. Delicate, satiny mouthfeel; chocolaty, floral finish supported by aromatic wood notes. The milk shot is chocolate- and flower-driven.","Notes: A blend comprised of a wet-processed coffee from Brazil Terra Matas de Minas, a dried-in-the-fruit or “natural”-processed Ethiopia Sidamo and a honey-processed Costa Rica Sonora Estate Red Catuai. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","The Bottom Line: A rich, deep espresso blend with a dark chocolate throughline; floral notes sing in three parts milk."
Colombia Planadas,SkyTop Coffee,"Manlius, New York","Tolima Department, Colombia",Medium-Light,52/70,$15.00/12 ounces,December 2020,92,Aroma:,9,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Chocolaty and sweetly nut-toned. Baking chocolate, almond butter, nougat, lychee, lily in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Crisp, chocolaty finish with undertones of almond and lily.","Notes: Produced by members of the Asociación de Cafés Diferenciados Brisas Nevado de la Vereda el Mirador Cadibrine from trees of the Caturra, Castillo, Colombia and Typica varieties of Arabica and processed by the washed method (fruit skin and pulp are removed before drying). SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.","The Bottom Line: A balanced, easygoing Colombia cup: chocolaty, nutty, and deeply sweet."
Ethiopia Sidama Bensa Bekele,Drink Coffee Do Stuff,"Truckee, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,57/77,$21.00/12 ounces,December 2020,91,Aroma:,8,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Crisply sweet, citrusy. Orange zest, cocoa powder, hazelnut, oak, maple syrup in aroma and cup. Sweet-toned structure with brisk acidity; delicate, silky mouthfeel. The gently drying finish centers on notes of cocoa-toned orange and hazelnut.","Notes: Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in their respective regions. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Drink Coffee Do Stuff operates a roastery in Truckee, California and a coffee shop in nearby Incline Village, Nevada. Visit www.drinkcoffeedostuff.com for more information.","The Bottom Line: A friendly, accessible natural Ethiopia cup, cleanly fruit- and cocoa-toned."
Bowstring Christmas Blend,Bridge Coffee Co.,"Marysville, California",Africa; Central America,Medium,50/66,$20.00/12 ounces,December 2020,92,Aroma:,9,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Sweet-toned, chocolaty. Baking chocolate, date, roasted cashew, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; full, velvety mouthfeel. Crisply chocolaty and nut-toned finish.","Notes: A blend of washed-process coffees from Africa and Central America. Bridge Coffee Co. is an artisan roastery in Marysville, California whose motto is: “We are the bridge from the crop to the cup."" Visit www.bridgecoffeeco.com for more information.","The Bottom Line: A friendly, accessible blend designed to evoke the warmth and spirit of the holidays with dried fruit, roasted nut, and chocolate tones throughout."
Peru Yanesha Geisha,94 Fresh Coffee,"Kaohsiung City, Taiwan","Pasco Department, Villa Rica, Peru",Medium-Light,61/79,"NT $1,000/8 ounces",December 2020,94,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Deeply floral, cocoa-toned. Lilac, dark chocolate, apricot, almond nougat, sandalwood in aroma and cup. Sweet in structure with bright, juicy acidity; syrupy-smooth mouthfeel. The finish consolidates to notes of dark chocolate and apricot with undertones of sandalwood.","Notes: Produced by smallholding farmers entirely of the admired Geisha variety of Arabica and processed by the washed method. 94 Fresh Coffee is a specialty coffee roaster based in Kaohsiung City that specializes in espresso, including training and machine sales. Wholesale pricing available for all coffees. Visit https://www.facebook.com/94freshcoffee/ for more information.","The Bottom Line: A complex, multi-layered Geisha from Peru characterized by notes of stone fruit and rich florals, with support from nut and aromatic wood — bright, juicy, balanced."
Vertical Support Espresso,Bridge Coffee Co.,"Marysville, California",Not disclosed,Medium,46/60,$14.00/12 ounces,December 2020,90,Aroma:,8,Body:,8							,Flavor:,9,Aftertaste:,7,With Milk:,9,"Blind Assessment: Evaluated as espresso. Chocolaty and nut-toned. Chocolate fudge, dark chocolate, raisin, gently scorched cedar, gardenia in aroma and small cup. Lightly syrupy mouthfeel; gently drying, wood-framed finish. Chocolate notes re-surface in three parts milk, along with gardenia-like florals.","Notes: Bridge Coffee Co. is an artisan roastery in Marysville, California whose motto is: “We are the bridge from the crop to the cup."" Visit www.bridgecoffeeco.com for more information.","The Bottom Line: A blend designed for espresso, roasted to medium-dark to bring out rich chocolate and nut tones — very sweet in both the short shot and cappuccino-scaled milk."
Honduras El Retono,94 Fresh Coffee,"Kaohsiung City, Taiwan","La Paz, Honduras",Light,64/80,NT $450/8 ounces,December 2020,93,Aroma:,9,Acidity/Structure:,9,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Delicately sweet-tart, richly aromatic. Cocoa nib, green apple, orange zest, hazelnut butter, rhododendron in aroma and cup. Sweet-tart structure with crisp, citrusy acidity; satiny mouthfeel. The nut-toned finish is enlivened by rhododendron-like florals.","Notes: Produced by Suyapa Leticia entirely of the Catuaí variety of Arabica and processed by the natural method. 94 Fresh Coffee is a specialty coffee roaster based in Kaohsiung City that specializes in espresso, including training and machine sales. Wholesale pricing available for all coffees. Visit https://www.facebook.com/94freshcoffee/ for more information.","The Bottom Line: A delicate natural-processed cup that leads with tart fruit and vanilla-like floral notes, elegant and subtly inviting."
