coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,h4,s4,h5,s5,p1,p2,p3
Brazil Pulped Natural,Nook Bakery & Coffee Bar,"Philadelphia, Pennsylvania","Southern Minas Gerais State, southeastern Brazil",Medium-Light,58/76,$16.00/10 ounces,May 2018,91,Aroma:,8,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Richly sweet, spice-toned. Ripe banana, roasted cacao nib, elm, freesia-like flowers, roasted cashew in aroma and cup. Roundly sweet-tart structure; lightly velvety mouthfeel. The crisp, richly drying finish consolidates around notes of cashew, cacao nib and a hint of spicy florals.","Notes: This coffee tied for the third-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. Produced on Fazenda Santa Tereza by Isley de Alancar Jr. with assistance from his U.S.-based sister Denise Dubowski. From trees of the respected Red and Yellow Catuai varieties of Arabica. Processed by the pulped natural (the Brazilian term) or honey (the Central American term) method, in which the skin is removed from the coffee fruit immediately after picking, but the seeds or beans are dried with all or part of the sweet pulp, or fruit flesh, still adhering to them. Nook Bakery and Coffee Bar is a specialty coffee roaster and cafe based in Philadelphia. Visit www.facebook.com/NookBakeryCoffee for more information.

 ",The Bottom Line: A deeply sweet pulped natural coffee with a throughline of spicy floral notes supported by cacao nib and buttery cashew.
Minas Gerais Isaias Ferreira No. 2,Novel Coffee Roasters,"Dallas, Texas","Southern Minas Gerais State, southeastern Brazil",Medium-Light,54/70,$15.00/10 ounces,May 2018,91,Aroma:,8,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Delicate, chocolate-toned. Dark chocolate, hazelnut, raisin, hints of lily and oak in aroma and cup. Balanced, sweet-toned structure; satiny-smooth mouthfeel. The long finish is quietly flavor-saturated.","Notes: This coffee tied for the third-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. It was produced from trees of the respected Mundo Novo and Red Catuai varieties of Arabica on Isaias Ferreira da Silva's farm Sitio Alvorada do Grotão and is a “natural” or dry-processed coffee, which means the beans or seeds were dried encased in the entire fruit rather than after the fruit has been removed, as is the case with wet- or “washed”-processed coffees. Naturals form the backbone of the Brazil coffee industry, but this lot reflects a particularly refined approach to the method. Founded in 2013 by Kevin Betts and Ryan Smith, Novel Coffee Roasters, based in Dallas, Texas, works on a model of trusted relationships and quality incentives. Visit www.novelcoffeeroasters.com for more information.","The Bottom Line: A classic Brazil cup in its presentation of deeply sweet notes of dark chocolate, nut and raisiny fruit."
Brasil Ipanema Premier Cru Gold B69 Natural,Back Home Coffee,"Changhua County, Taiwan","Sul de Minas growing region, Minas Gerais State, Brazil",Medium-Light,52/75,NT $420/227 grams,May 2018,90,Aroma:,9,Acidity/Structure:,8,Body:,7,Flavor:,8,Aftertaste:,8,"Blind Assessment: Delicate, sweet-toned, softly bright and balanced. Caramel, vanilla bean, cedar, almond, candied lemon zest in aroma and cup. Gently brisk in structure, light in mouthfeel. Sweet citrus framed by aromatic cedar carry into a short but pleasing finish.","Notes: This coffee tied for the fourth-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. The large and technically advanced Ipanema farms are well-situated in the admired Sul de Minas growing region. This is one of the first generation of microlot selections from a new program called Ipanema Premier Cru, an extraordinarily detailed effort to isolate special small lots by microclimate, tree variety and processing method. This particular Premier Cru selection is a “natural” or dry-processed version, which means the beans or seeds were dried encased in the entire fruit rather than after the fruit has been removed, as is the case with wet- or “washed”-processed coffees. Naturals form the backbone of the Brazil coffee industry, but this lot reflects a particularly refined approach to the method. Back Home Coffee is a cafe and roastery based in Changhua County, Taiwan. Visit https://m.facebook.com/BackHomeCoffeeO/ for more information.","The Bottom Line: A graceful, light-footed cup, understated and refined."
Brazil Fazenda São Bento,Old Soul Co.,"Sacramento, California","Sul de Minas growing region, Minas Gerais State, Brazil",Medium-Light,56/78,$18.00/12 ounces,May 2018,93,Aroma:,9,Acidity/Structure:,9,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Deeply and sweetly pungent, juicy. Black currant, orange zest, cocoa, lavender, oak in aroma and cup. Sweetly and gently tart in structure, gently savory-edged. Light but silky, lively mouthfeel. Quietly rich finish: orange zest and lavender. ","Notes:  This coffee tied for the highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. Produced by Luis Carlos Gomes of São Bento farm, a medium-sized farm in the Sul de Minas growing region, from trees the respected Yellow Catuai and hybrid Icatu varieties. This is a “natural” or dry-processed coffee, which means the beans or seeds were dried encased in the entire fruit rather than after the fruit has been removed, as is the case with wet- or “washed”-processed coffees. Naturals form the backbone of the Brazil coffee industry, but this lot reflects a particularly refined approach to the method. Old Soul is a roastery, bakery and crafter of artisanal goods dedicated to quality in every form. Visit www.oldsoulco.com or call 916-443-7685 for more information.","The Bottom Line: A subtle but seductive cup, juicy, savory-sweet, with a pleasing range of aromatics: lavender, orange, cocoa."
Fazenda Recreio Bourbon Pulped Natural,Auto Coffee,"New Taipei City, Taiwan","Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",Medium-Light,58/77,NT $450/16 ounces,May 2018,93,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment:  Round, balanced, with a quiet but deeply layered complexity. Blackberry, cocoa, pear, lavender, roasted macadamia in aroma and cup. Sweetly and roundly bright in structure; plush and lightly syrupy in mouthfeel. A richly resonant finish consolidates around cocoa, lavender and pear.","Notes: This coffee tied for the highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. Processed by the pulped natural method (called the “honey” method in Central America), in which the skin is removed from the coffee fruit immediately after picking, but the seeds or beans are dried with all or part of the sweet pulp, or fruit flesh, still adhering to them. AUTO Cafe is a small coffee roastery based in New Taipei City, Taiwan. Visit www.holdcafe.com for more information.",The Bottom Line: Gently but resonantly expressive and complex. For those who prefer subtle intricacy and depth to bold assertion.
Brazil Ouro de Minas Pulped Natural,Corvus Coffee Roasters,"Denver, Colorado","Minas Gerais State, southeastern Brazil",Medium-Light,55/80,$15.50/12 ounces,May 2018,92,Aroma:,8,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Delicate, sweetly bright and gently lemony. Ripe lemon zest, fresh-cut cedar, carnation, roasted cashew, cocoa in aroma and cup. Roundly and lightly sweet-tart in structure; satiny in mouthfeel. Quietly resonant in the finish: flowers and cedar. ","Notes: This coffee tied for the second-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. Processed by the pulped natural (the Brazilian term) or honey (the Central American term) method, in which the skin is removed from the coffee fruit immediately after picking, but the seeds or beans are dried with all or part of the sweet pulp, or fruit flesh, still adhering to them. Corvus Coffee Roasters is based in Denver, Colorado and specializes in rare and exclusive coffees from some of the finest growers in the world. Corvus particularly focuses on processing methods and selective harvesting, which result in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com.","The Bottom Line: A classic pulped-natural Brazil, delicate yet resonant, lightly floral, cedary, nut-toned."
COE Brazil Naturals 2017 Sitio Esperanza 7th place,Dragonfly Coffee Roasters,"Boulder, Colorado","Mantiqueira de Minas growing region, southern Minas Gerais State, Brazil",Medium-Light,55/81,$24.00/12 ounces,May 2018,92,Aroma:,9,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,7,"Blind Assessment: High-toned, richly sweet-tart. Baker’s chocolate, hibiscus tea, floral vanilla, tangerine zest, brown sugar in aroma and cup. Sweetly bright in structure, with gentle acidity; plush, syrupy mouthfeel. The sweetly tart finish is gently drying, consolidating around notes of hibiscus tea and baker’s chocolate.","Notes:  This coffee tied for the second-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. As a green coffee, it also took seventh place in the 2017 Cup of Excellence juried competition for natural or dry-processed Brazil coffees, meaning coffees that were dried in the entire fruit rather than after the fruit has been removed, as is the case with wet- or “washed”-processed coffees. Naturals form the backbone of the Brazil coffee industry, but this prize-winning lot reflects a particularly refined approach to the method. Dragonfly Coffee is a Boulder, Colorado-based micro-roaster that produces high-quality coffees and supports worthy causes. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.","The Bottom Line: A crisp, chocolate-toned Brazil natural cup, with inviting notes of dried hibiscus and vanilla-like florals."
Icamiabas Fazenda Klem Catuaí Natural,Hatch Coffee,"Markham, Ontario, Canada","Matas de Minas growing region, eastern Minas Gerais State, Brazil",Medium-Light,56/78,CAD $29.00/200 grams,May 2018,92,Aroma:,9,Acidity/Structure:,8,Body:,8,Flavor:,9,Aftertaste:,8,"Blind Assessment: Fruit-toned, chocolaty. Strawberry, dark chocolate, sandalwood, lavender, a hint of brandy in aroma and cup. Brisk, sweet-tart structure with juicy acidity; delicate, silky mouthfeel. Reminiscent of a chocolate cordial in the sweetly fermenty finish.","Notes:  This coffee tied for the second-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. Produced by the children of Nagipe Viana Klem, founder of Fazenda Klem, entirely from trees of the respected Catuai variety of Arabica. This is a “natural” or dry-processed coffee, which means the beans or seeds were dried encased in the entire fruit rather than after the fruit has been removed, as is the case with wet- or “washed”-processed coffees. Naturals form the backbone of the Brazil coffee industry, but this lot reflects a particularly refined approach to the method. Hatch Coffee is an Ontario, Canada-based roaster offering coffees for both retail and wholesale purchase. Visit www.hatchcrafted.com for more information.","The Bottom Line: A fruit-forward, natural-processed Brazil coffee that invokes a chocolate cordial with its predominant note of brandy-inflected dark chocolate."
Brazil Chapada Diamantina Fazenda Floresta,Soul Work Coffee,"Berkeley and Sacramento, California","Chapada Diamantina growing region, Bahia State, Brazil",Medium-Light,58/80,$22.50/12 ounces,May 2018,92,Aroma:,8,Acidity/Structure:,8,Body:,9,Flavor:,9,Aftertaste:,8,"Blind Assessment: Crisp, delicately sweet. Baker’s chocolate, violet-like flowers, papaya, macadamia nut, molasses in aroma and cup. Balanced, bittersweet structure; impressively buoyant, velvety mouthfeel. The resonant, flavor-saturated finish consolidates around notes of violet and papaya with a throughline of molasses-like sweetness.","Notes: This coffee tied for the second-highest rating in a cupping of coffees from Brazil for Coffee Review’s May 2018 tasting report. Produced by Nelson Ribeiro and Luca Allegro from trees of the respected Catuai variety of Arabica using biodynamic farming methods. A “natural” or dry-processed coffee, which means the beans or seeds were dried encased in the entire fruit rather than after the fruit has been removed, as is the case with wet- or “washed”-processed coffees. Naturals form the backbone of the Brazil coffee industry, but this lot reflects a particularly refined approach to the method. Soul Work Coffee focuses on sourcing exceptional coffees and meticulously roasting them for memorable sensory experiences. Visit www.soulworkcoffee.com for more information.",The Bottom Line: A confident chocolate- and floral-toned cup with a pleasingly bittersweet structure.
Tumba Rwanda,Corvus Coffee Roasters,"Denver, Colorado",Rwanda,Light,58/84,$15.50/12 ounces,May 2018,93,Aroma:,9,Acidity/Structure:,9,Body:,9,Flavor:,9,Aftertaste:,7,"Blind Assessment: Resonant, sweet-savory, original. Baker’s chocolate, fragrant fresh-cut cedar, green grape, almond, wisteria in aroma and cup. Roundly tart, sweetly savory in structure; plushly syrupy mouthfeel. Flavor, particularly green grape and flowers, carries into a drying finish.","Notes: This exceptional coffee was selected as the No. 26 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. From the Tumba washing station or wet mill operated by Venustre Mugraneza. Produced from trees of the Jackson variety of arabica, a local strain of the admired Bourbon variety. Wet-processed or “washed,” meaning the fruit skin and pulp were removed from the beans immediately after harvesting  Corvus Coffee Roasters is based in Denver, Colorado and specializes in rare and exclusive coffees from some of the finest growers in the world. Corvus particularly focuses on processing methods and selective harvesting, which result in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com.","The Bottom Line: Lovely expression of the genius of Rwanda coffees: roundly sweet-savory in structure, resonant in aromatics, luxurious in mouthfeel."
